cluster index	CF_componentindex	CF_NrNodes	CF_kingdom	CF_kingdom_score	CF_superclass	CF_superclass_score	CF_class	CF_class_score	CF_subclass	CF_subclass_score	CF_Dparent	CF_Dparent_score	CF_MFramework	CF_MFramework_score
682	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
710	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
716	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
740	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
806	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
896	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
900	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
901	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
973	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
1950	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
3216	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
3377	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
3430	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
3464	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
3468	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
3476	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
3477	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
3488	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
3502	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
3517	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
3524	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
3530	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
3535	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
3536	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
3555	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
3559	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
3621	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
3629	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
3697	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
3706	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
3756	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
