CLUSTERID1	interaction	CLUSTERID2	DeltaMZ	MEH	Cosine	OtherScore	ComponentIndex	EdgeAnnotation	shared_motifs	TopSharedMotifs
5638	cosine	5655	-2.016	5638.0	0.9186	5638.0	3	 	['motif_83', 'motif_14']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
7760	cosine	7889	-12.036	7760.0	0.9242	7760.0	3	 	['motif_93', 'motif_53', 'motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
5639	cosine	6341	-52.03	5639.0	0.9014	5639.0	3	 	['motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
7964	cosine	8163	-28.025	7964.0	0.8609	7964.0	3	 	['motif_53', 'motif_104', 'motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
7925	cosine	7939	-2.016	7925.0	0.9128	7925.0	3	 	['motif_93', 'motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
7849	cosine	8228	-52.03	7849.0	0.8489	7849.0	3	 	['motif_104']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
7760	cosine	7925	-14.05	7760.0	0.9462	7760.0	3	 	['motif_93', 'motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
7218	cosine	7488	-30.997	7218.0	0.8795	7218.0	3	 	['motif_73', 'motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
5824	cosine	5840	-2.012	5824.0	0.8366	5824.0	3	 	['motif_53', 'motif_14', 'motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
5937	cosine	6307	-26.016	5937.0	0.8303	5937.0	3	 	['motif_53', 'motif_14', 'motif_83', 'motif_93', 'motif_104']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
8025	cosine	8194	-26.064	8025.0	0.9038	8025.0	3	 	['motif_93']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
5881	cosine	6250	-26.016	5881.0	0.8352	5881.0	3	 	['motif_83', 'motif_14']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
5375	cosine	5376	0.002	5375.0	0.9211	5375.0	3	 	['motif_53', 'motif_14', 'motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
5484	cosine	6250	-56.06399999999999	5484.0	0.8284	5484.0	3	 	['motif_83', 'motif_14', 'motif_53']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
8186	cosine	8189	-1.005	8186.0	0.8471	8186.0	3	 	[]	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
7783	cosine	7925	-12.035	7783.0	0.9329	7783.0	3	 	['motif_93', 'motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
7987	cosine	7996	-1.003	7987.0	0.9046	7987.0	3	 	['motif_93']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
5824	cosine	6250	-30.046999999999997	5824.0	0.8115	5824.0	3	 	['motif_83', 'motif_14', 'motif_53']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
5611	cosine	5937	-26.015	5611.0	0.8837	5611.0	3	 	['motif_53', 'motif_14', 'motif_83', 'motif_104']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
7760	cosine	7940	-16.066	7760.0	0.9049	7760.0	3	 	['motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
7911	cosine	7940	-3.0269999999999997	7911.0	0.8905	7911.0	3	 	['motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
5638	cosine	5656	-2.019	5638.0	0.9143	5638.0	3	 	['motif_83', 'motif_53']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
5536	cosine	5744	-13.967	5536.0	0.8323	5536.0	3	 	['motif_131', 'motif_14', 'motif_53']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
6007	cosine	6341	-21.989	6007.0	0.8972	6007.0	3	 	['motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
7560	cosine	7739	-15.995999999999999	7560.0	0.8738	7560.0	3	 	['motif_83', 'motif_12']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
5923	cosine	5950	-4.026	5923.0	0.8540000000000001	5923.0	3	 	['motif_53', 'motif_12']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
8088	cosine	8102	-1.003	8088.0	0.9006	8088.0	3	 	['motif_53']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
5745	cosine	8045	-266.22	5745.0	0.8093	5745.0	3	 	[]	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
7783	cosine	7829	-1.003	7783.0	0.9072	7783.0	3	 	['motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
7889	cosine	7996	-14.982000000000001	7889.0	0.903	7889.0	3	 	['motif_53', 'motif_93', 'motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
5638	cosine	6007	-30.043000000000003	5638.0	0.9051	5638.0	3	 	['motif_83', 'motif_14', 'motif_53']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
5121	cosine	5375	-13.99	5121.0	0.8787	5121.0	3	 	['motif_53', 'motif_14', 'motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
4949	cosine	5294	-26.016	4949.0	0.8956	4949.0	3	 	['motif_93', 'motif_14', 'motif_53', 'motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
8091	cosine	8102	-1.003	8091.0	0.8723	8091.0	3	 	['motif_93']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
