,InChIKey
138,InChIKey=DAGFUKGGPJLJKE-FPPXPWOFSA-O
139,InChIKey=HRAAKPGXJOTHIU-WVLAUNTOSA-N
140,InChIKey=HBGRDIRAVQKITK-KYPHJKQUSA-P
141,InChIKey=ZRAJFHFOIYKZPF-UHFFFAOYSA-N
142,InChIKey=DRKWESMXEMXKSX-XUNYWANXSA-O
143,InChIKey=BCEHBSKCWLPMDN-UHFFFAOYSA-N
144,InChIKey=PEERDASTVYCOSA-WRHVQLCESA-O
145,InChIKey=XUFIWSHGXVLULG-JYDJLPLMSA-N
146,InChIKey=XZFSKAUTOQNPFT-UYKDAJKOSA-M
147,InChIKey=BNPYZZVTLFIGQT-UHFFFAOYSA-N
148,InChIKey=MXGWDBFUMHUPTG-UHFFFAOYSA-N
149,InChIKey=BHRGWJHZKQMGJI-NSHDSACASA-M
150,InChIKey=MCAXWYRINXQGEP-SLSRMECRSA-N
151,InChIKey=ZGCMGGKQYCJUHJ-GWFRLWDUSA-N
152,InChIKey=OVURIZIJDDTXJS-MFUUIURDSA-N
153,InChIKey=HTJGKEVKFGCWNR-UHFFFAOYSA-N
154,InChIKey=FJVZPYDTFJWBQD-QCLVDHRXSA-N
155,InChIKey=DOPKBXYIXNDNSE-SESCJMQFSA-N
156,InChIKey=LNXDZKNDLBCPBR-UZPVMMMDSA-N
157,InChIKey=ADYMNXMINPSVTR-UHFFFAOYSA-O
158,InChIKey=NGRPFRZVQBQNGD-JTHBVZDNSA-O
159,InChIKey=XWHIBISICRMDDW-RRHRGVEJSA-N
160,InChIKey=NHHCZYWVBRHSSB-KXQOOQHDSA-N
161,InChIKey=WCSDULLQTPYJFU-RRHRGVEJSA-N
162,InChIKey=KJCXECJVCXRNJN-LCBLFZHBSA-O
163,InChIKey=FWGXCMHORNUXJC-HSGDLOGBSA-N
164,InChIKey=KEVGQWGZKKFGDC-UHFFFAOYSA-N
165,InChIKey=LDZDUGYTLKWPEI-FTQMYMCWSA-N
166,InChIKey=VIHZKKDXZBIOIK-HRVDDEAVSA-M
167,InChIKey=CORQBBHDZHNQBB-APWZRJJASA-M
168,InChIKey=GGLAOHBNWDQZER-UHFFFAOYSA-N
169,InChIKey=QRWPHMHMPOYWGH-JUHMXDIUSA-N
170,InChIKey=HPXHHJRUVZWLFU-WBVITSLISA-N
171,InChIKey=QTZBLRHFFQWYDY-PKPWYKSASA-N
172,InChIKey=ZZTXYUVDEDOUDW-XYNNUCQCSA-N
