,SMILES
3403,N1([C@H](C(=O)N[C@@H](CCCNC(=N)N)CO)C[C@@H](C1)C)C(=O)[C@H](NC(=O)[C@@H](Cc1ccc(cc1)O)O)CCc1ccc(cc1)O
3404,[C@@]12([C@@H]([C@@]3(O[C@H]2O)O[C@@H]2[C@@H]([C@@]4([C@](C5=CC[C@@H]6[C@@]7([C@]5(C7)C[C@H]4OC(=O)C)CC[C@@H](C6(C)C)O[C@H]4[C@@H]([C@H]([C@@H](CO4)O)O)O)(C2)C)C)[C@@H](C3)C)O1)C
3405,[C@@]12([C@H]3[C@@]([C@H](C[C@H]3O)[C@@H](CC[C@@H](C(C)C)O)C)(CC[C@@H]1[C@@]1([C@@H]([C@@H](C2)O)[C@H]([C@H](CC1)O[C@H]1[C@@H]([C@H]([C@@H](CO1)OC)OC)OC)O)C)C)O
3406,[C@@]12([C@@H]([C@@H]3[C@H]([C@@]4(C(=CC3)C[C@H](CC4)O)C)CC2)CC[C@@H]1[C@@H](CC[C@@H](/C(=C/C)/C)C)C)C
3407,[C@@]12([C@]([C@H]3[C@@](CC2)(CCC(C3)(C)C)C)(CC[C@@]2([C@@H]1CC=C1[C@H]2CC[C@@H](C1(C)C)OC(=O)/C=C/c1ccccc1)C)C)C
3408,CC(=O)C1=C(C(=O)N([C@@H]1c1ccc(cc1)OC)Cc1cccnc1)[O-]
3409,C[C@H]1c2cc(c(cc2CCN1C(=O)N1CCOCC1)OC)OC
3410,[H][C@@](COC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)(COP(O)(O)=O)OC(=O)CCCCCCCCCCCCCCCCCCC
3411,O=C(\C=C\C=C\C=C\C1=CC2=C(OCO2)C=C1)N1CCCCC1
3412,C(=O)(CCCCCCC/C=C\CCCCCCCCO)OC
3413,[H]C(=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)O[C@]([H])(C([H])([H])OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])OP([O-])(=O)OC([H])([H])C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]
3414,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@H](CO)O)OC(=O)CCCCCCCCCCC
3415,[H][C@](N)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC\C=C/C\C=C/CCCCC)OC(=O)CCCCCCCCCCCCCCCCCCCCCCC)C(O)=O
3416,Cn1c2ccccc2n2c1cc(c2)c1ccc(cc1)c1ccccc1
3417,[H]O[C@]1([H])C([H])([H])C2=C([H])C([H])=C3C4([H])C([H])([H])C([H])([H])C([H])([C@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])C(=C([H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])[C@@]4(C([H])([H])[H])C([H])([H])C([H])([H])C3([H])[C@@]2(C([H])([H])[H])C([H])([H])C1([H])[H]
3418,[C@]1(C[C@@H]([C@@H](OO1)CC(=O)OC)CC)(CCC[C@H](/C=C/CC)CC)CC
3419,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]1[C@H]2CC[C@@H]2[C@@]1(CC=C(C2)OC(=O)C)C)C
3420,CCCC[C@H](CC1=C[CH+]N=C1)[C@H](CC(=O)CCc1cc(c(cc1C[NH2+]C)O)OC)OC(=O)C
3421,[C@@](CCC=C(C)C)(CCC/C=C(/CCC=C(C)C)\C)(O)C
3422,[C@@]123[C@H]4[C@](CN([C@@H]1[C@H](C4)[C@@]1([C@@H]4[C@H]2C[C@@H]([C@@H]4OC(=O)c2ccccc2)[C@H](C1)OC)O)CC)(CC[C@@H]3OC)COC
3423,C/C/1=C\C[C@@H](Cc2cccc(c2)C[C@@]([NH2+][C@@H]1O)(CCOC)C1CCCCC1)C(=C)/C=C/C=C(/CO)\[C@@H]1CC[C@]2([C@@H]1O)[C@H](/C(=C(/C)\C=O)/CC[C@@]2(CC[NH2+]C)O)CCCO
3424,C[C@@H]1CN([C@@H](C)CO)C(=O)c2cccc(c2O[C@@H]1CN(C)C(=Nc1ccc2c(c1)OCO2)O)N=C(C1CCOCC1)O
3425,[H]OP(=O)(OC([H])([H])C([H])([H])N([H])[H])OC([H])([H])[C@]([H])(OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
3426,[C@@H]([C@H](CCC[C@H](CCC/C(=C/CO)/C)C)C)(C[C@H](C(C)C)O)O
3427,[H]C(COC(=O)CCCCCCCCC\C=C/CCCCCCCC)(COP(O)(=O)OCCN(C)C)OC(=O)CCCCCCCCCCCCCC
3428,CC1=C[C@H]([C@@H](C[C@H]1CC(=O)[O-])C(C)C)CNC(=O)c1ccccc1
3429,C[C@H]1CC[C@H]2[C@@H]([C@@H]3CC[C@H]4[C@@H]([C@H]3C[N@@H+]2C1)C[C@H]1[C@H]4CC(=O)[C@@H]2[C@@]1(CC[C@H](C2)O)C)C
3430,[H][C@@](COC(=O)CCCCCCCCCCC\C=C/C\C=C/CCCCC)(COP(O)(O)=O)OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC
3431,Cc1ccc(c(C)c1)Nc1c(cccn1)C(=NCc1cccs1)O
3432,CC(C)[C@@]1(CC[C@@](C)([C@@H]2[C@H]3CC[C@@H]4[C@@]5(C)CC[C@@H](C(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)C[C@H]2O)O[C@H]2[C@@H]([C@H]([C@@H]([C@@H](CO)O2)O)O)O[C@H]2[C@@H]([C@H]([C@@H]([C@@H](CO)O2)O)O)O)O1)CO
3433,[C@@H]1(/C(=C/C=C/[C@H](O)C)/C)OC(=O)C[C@@H](CC[C@H]([C@@H](/C=C/C1)OC(=O)C)C)O
3434,C(CCN(CCCN)C(=O)CCc1ccc(c(c1)O)O)CN(CCCN)C(=O)CCc1ccc(c(c1)O)O
3435,c1ccc2c(c1)[C@@]1(CCN3C[C@@H]4COC=C[C@H]4C[C@@H]13)CN2
3436,[C@]12(C3=C([C@H]4[C@](CC3)(CCC4)C)CC[C@H]1C[C@H](CC2)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)O)O)O[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)O)O)C
3437,CC(C)[C@H](C(=O)[O-])[NH2+]Cc1ccc(cc1)OC
3438,[C@]1([C@H]2C(=CC[C@H]1C)C(CCC2)(C)C)(CCC1=CC[C@H](OC1)C1=CC(=O)O[C@H]1O)C
3439,[H][C@](COC(=O)CCCCCCCCCCCCCC)(COC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC)OC(=O)CCCC\C=C/C\C=C/C\C=C/CCCCC
3440,CC(C)NC(=O)N[C@H]1CCN([C@@H]1C(=O)N(C)CC(=O)N)C(=O)CC(C)(C)C
3441,C[C@@H]1CCN(CC1)C(=O)C[C@@H]1[C@@H](CC[C@H]2[C@]1(CC[C@@H]1[C@]2(CO[C@H](O1)C[NH3+])C)C)O
3442,C12=C[C@@H]3[C@](C2=CC[C@@H]2[C@@]1(CCC(=O)C2(C)C)C)(CC[C@@H](C3=C)[C@@H](CC/C=C(\C(=O)O)/C)C)C
3443,C[C@@H]1[C@H](CC[C@]2([C@H]1[C@H]([C@H](CC2)[C@H](C)C(=O)NC1CCCCC1)O)C)NC(=O)c1ccc(cc1)OC
3444,CC(C)CCC[C@@H](CCCCCC(=O)CC(=O)/C=C/c1cc(c(cc1Cc1cnc(cc1CCc1cccc(c1)CCc1ccccc1)N)O)OC)C[NH2+]C
3445,[H][C@@](COC(=O)CCCCCCCCCC(C)C)(COP(O)(O)=O)OC(=O)CCCCCCCCCCCCCCCCC(C)C
3446,C[C@H]1Cc2cccc(c2)C[C@H](C/C=C(/C[NH2+]1)\C)C(=C)/C=C/C=C(/COCCO)\[C@@H]1CC[C@]2([C@@H]1O)[C@H]1[C@@H](C=C[C@H](/C/1=C(\C)/C=O)C[C@@]2(CC[NH2+]C)O)CCO
3447,C12=Cc3c(C[C@H]1NOC2=O)cccc3
3448,[C@@]12([C@@H](O1)C[C@H](C(=C)C(=O)OC)CC[C@]([C@@H](CC/C(=C/CC2)/C)OC(=O)C)(O)C)C
3449,CC[C@@H]1CCCC[N@H+]1Cc1c(c(c2c(c1O)c(=O)cc(o2)c1ccccc1)C[N@H+]1CCCC[C@@H]1CC)O
3450,[C@@H](C[C@H](C(=O)O)C)(C/C(=C/[C@@H](C[C@H](C[C@H](C[C@H](CC)C)C)COC(=O)C)C)/C)C(=O)O
3451,c12c(c(c([nH]1)/C=c\1/c(c/c(=C/c3[nH]c(/C=c/4\[nH]/c(=C\2)/c(c4C)CC)cc3C)/[nH]1)C)C)CCC(=O)OC
3452,[H]OP(=O)(OC([H])([H])C([H])([H])N([H])[H])OC([H])([H])[C@]([H])(OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])OC([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
3453,C[C@H]1CCC[C@]2(C1=C[C@H]1[C@@H](C2)OC(=O)[C@@H]1C[NH2+]CCc1ccc(c(c1)OC)OC)C
3454,[C@H]1([C@H](O1)CC)C/C=C\C/C=C\CCCCCCCC(=O)N[C@H](C(=O)O)CCC(=O)N
3455,C[C@@]1(CC[C@]2([C@@H](C1)C(C[C@@H]2NC(=O)c1cccnc1)(C)C)CCC(=O)NCc1ccc(cc1)OC)O
3456,CCCCCC(=O)O[C@H]1CC[C@@]2([C@H]3CC[C@]4([C@H]([C@@H]3CC=C2C1)C[C@H]1[C@@H]4[C@@H]([C@]2(O1)CC[C@H](CN2C(=O)C)C)C)C)C
3457,C(=C\CC/C(=C\CC[C@@H](CC(=O)OC)C)/C)(/C(=O)OC)\CC/C=C(/C(=O)OC)\C
3458,[H][C@@](COC(=O)CCCCCCCCCCC\C=C/C\C=C/CCCCC)(COP(O)(O)=O)OC(=O)CCCCCCCCCCCCCCCCCCC
3459,[H]OP(=O)(OC([H])([H])C([H])([H])N([H])[H])OC([H])([H])[C@]([H])(OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])([H])[H])C([H])([H])OC([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
3460,C[C@@H]1C[C@@H](OC2(C1)CCCCC2)CC(=O)CCc1ccc(c(c1c1ccc2ccc(cc2c1)O)OC)O
3461,[CH+]1[CH]C=c2c(=C1)c(C[C@H](C(=O)O)N)c[nH]2
3462,C[C@@H]1[C@@H]([C@@H](C[C@@H](O1)O[C@H]1CC[C@@]2([C@H]3CC[C@@]4([C@H](CC[C@@]4([C@@H]3CC[C@@]2(C1)O)O)C1=CC(=O)OC1)C)C=O)OC)OC(=O)C
3463,[H]OC([H])([H])[C@]([H])(O[H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
3464,[H][C@@](COC(=O)CCCCCCCCCCCCCCCCCCCCC(C)CC)(COP(O)(O)=O)OC(=O)CCCCCCCCCCCCCCCCCCC(C)C
3465,Cc1cc(c2c(c1)[C@]1([C@H](C[C@@H](N1)CC(=O)N)C(=O)Nc1cc(ccc1OC)OC)C(=O)N2)C
3466,C1(C(=C(CCC1)C)/C=C/C(=C/C=C/C(=C/C=C/C=C(/C=C/C=C(/C=C/[C@H]1C(CCC=C1)(C)C)\C)\C)/C)/C)(C)C
3467,CCCCCCCC\C=C\CCCCCC1CC2=C(C(=O)O1)C(O)=CC=C2
3468,[H][C@@](COC(=O)CCCCCCC\C=C/CCCCCCCC)(COP(O)(O)=O)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCCC
3469,CC(C)\C=C\C[C@@H](C)C1CCC2C3CC=C4C[C@@H](O)CC[C@]4(C)C3CC[C@]12C
3470,C(C/C=C/C=C/C(=O)N1CCCC1)CCCCc1ccc2c(c1)OCO2
3471,CC[NH2+]C/C(=C/CCC(=C)/C=C/C=C(/CO)\[C@@H]1CC[C@]23[C@]1(C=C[C@]1([C@@H]2/C(=C(/C)\C=O)/[C@@H](C[C@@]3(CC[NH2+]C)O)C=C1)CCO)O)/C
3472,[H][C@@](COC(=O)CCCCCCCCCCCCCCCCCCCCC(C)CC)(COP(O)(O)=O)OC(=O)CCCCCCCCCCCCC
3473,CC(=O)OCC(O)CC(O)CCCCCCCCCCCC#C
3474,[C@]1([C@H](C[C@@H](C(=C)CC[C@H](/C=C/1)C(C)C)OO)O)(O)C
3475,CCCCC\C=C/C\C=C\CCCCCCCC(=O)OC
3476,C[C@H]1[C@@H](CC[C@H]([NH2+]1)CC[C@H]1CCCCCC[C@](C[NH2+][C@]2(CC[NH2+][C@H](C2)C2(CCCCC2)c2cccc(c2)C1)C)(CC(=O)[O-])O)O
3477,[H][C@@]12C[C@@H]([C@@H](O)C[C@@]1(C)CCCC2=C)C(C)(C)C
3478,CCCCCCCCCCCCCC[C@H]([C@H]([C@H](/C=C/[C@@H]1[C@@H]([C@H]([C@H]([C@@H](CO)O1)O)O)O)N=C(CCCCCCCc1ccccc1)O)O)O
3479,[C@@H](C/C=C\CCCCCCCC(=O)O)(/C=C/C=C\CC)O
3480,C[C@@H]1CN([C@@H](C)CO)C(=O)c2ccccc2c2ccccc2CO[C@@H]1CN(C)Cc1cccc(c1)OC
3481,C[C@]12CCC(=O)C=C1CC[C@H]1[C@H]2[C@@H](C[C@]2([C@@H]1C[C@@](C2)(C(=O)CSCC(=O)OC)O)C)O
3482,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@H]3[C@H](CC[C@]12C)[C@@]1(C)CC[C@@H](CC1=CC3N)O
3483,[C@@]12([C@]3([C@@H]([C@H]4[C@@]([C@@H]([C@@H]3C)OC(=O)CCCCCCCCCCCCCCC)([C@@]4(CO)C)OC(=O)C)C=C(C2)CO)O)[C@@]2([C@H]1C=C(C2=O)C)O
3484,[C@H]1([C@H](O1)C[C@H](/C=C/C=C(/[C@@H]1OC(=O)C[C@H](C[C@H]([C@H]([C@@H](/C=C/C1)OC(=O)C)C)O)O)\C)C)[C@@H]([C@H](CC)O)C
3485,CC(CCCC(C)CCCC(C)CO)CCCC(C)CC(=O)O
3486,Cc1c(c(n(n1)c1ccc(cc1)C(C)(C)C)C)[C@H]1C[C@@H](C=C1)[NH2+]Cc1ccccc1
3487,[C@@]12(O[C@H]([C@H](CC1)C)[C@@H](CC[C@@H]([C@@H](C(=O)C[C@H]([C@@H]([C@H](OC(=O)CCC1=C(C(=O)OC1=O)C)C(C)C)OC)O)C)O)C)O[C@H]([C@@H](CC2)C)CC[C@@H](C(=O)C)C
3488,CCCC[C@H](C[NH2+]CC)COC(=O)[C@@]12C(=O)c3ccccc3C(=O)[C@@]1(O2)C/C=C(\C)/C[C@@]1(CCC[NH+]=C(N1)NC)c1cc[nH+]c(c1)N
3489,O=CC1=CNC2=C1C=CC=C2
3490,CC(=O)O[C@@H]1[C@H]([C@@H](CO[C@H]1O[C@H]1CC[C@]23C[C@@]42CC[C@@]2([C@H]([C@H](C[C@]2([C@@H]4C[C@@H]([C@@H]3C1(C)C)O)C)O)[C@]1(CC[C@H](O1)C(C)(C)O)C)C)O)O
3491,C/C(=C\CCC(=C)/C=C/C=C(/CO)\[C@@H]1CC[C@]2([C@@H]1O)[C@H]1[C@@H](C=C[C@H](/C/1=C(\C)/C=O)C[C@@]2(CC[NH2+]C)O)CCO)/CO
3492,[C@@]12([C@H](C3=CC[C@@H]4[C@@]([C@H]3CC2)(CC[C@@H](C4)O)C)CC[C@@H]1[C@@H](/C=C/C(=C\C)/C(C)C)C)C
3493,[C@@]12(n3c4c(c5c3cccc5)CCN=C4C[C@H]1/C(=C/C)/CO[C@H]2O)C(=O)OC
3494,N1(C(=O)/C=C/CCCCCCCCCCCCCCC)CCCC1
3495,C[C@H](CCC(=O)NCc1ccncc1)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]1[C@H]2[C@H](C[C@H]2[C@@]1(CC[C@H](C2)O)C)O)C
3496,[C@@]12([C@@](C(=CC2)C2=CC(=O)OC2)(CC[C@H]2[C@H]1CC[C@H]1[C@@]2(CC[C@@H](C1)O[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)C)O)OC)OC)C)C)O
3497,CC(C)C(=C)CC[C@H]([C@H]1[C@@H](C[C@@]2([C@@]1(CCC1=C2CC[C@H]([C@]1(C)CCC(=O)OC)C(=C)C)C)C)O)C(=O)[O-]
3498,C1(=O)[C@H]([C@@H]([C@H](O1)C)OC(=O)C)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC
3499,c1ccc(cc1)NC(=O)[C@@H]1[C@H](CC[C@H](O1)CC[NH+]1CCN(CC1)c1ccc(cc1)F)O
3500,[H]C1=C(CCC)OC(CCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCC2=C(C)C([H])=C(CCCCC)O2)=C1C
3501,COc1ccccc1NC(=O)N1C[C@@H]2C[C@H](C1)c1ccc(c(=O)n1C2)c1cccs1
3502,CCCCCCCCCCCCCCCCCC(=O)OC(CO)CO
3503,C[C@@H](COC[C@@H](C)OC[C@@H](C)OC[C@H](C)OC[C@H](C)OC[C@@H](C)OC[C@@H](C)OC[C@@H](C)OC[C@H](C)OCCOC)N
3504,C(=O)(OC[C@@H](CO)O)CCCCCCCCCCCCCCCCCCCCCCC(=O)OC[C@H](CO)O
3505,[H]OP(=O)(OC([H])([H])C([H])([H])N([H])[H])OC([H])([H])[C@]([H])(OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])([H])[H]
3506,[C@H](CC(=O)OC)(OC(=O)C)CCCCCCCCCCCCC(C)C
3507,c1ccc(cc1)CN1CC[NH+](CC1)CC[C@@H]1CC[C@@H]([C@H](O1)C(=O)NC1CC1)O
3508,c1cc2cc(ccc2nc1)O
3509,[C@@H]12[C@@]([C@@]3([C@H]1[C@@H](CC3)C)O)(CC[C@@]2(/C(=C\CC=C(C)C)/C)C)C
3510,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC/C=C/C(=O)O
3511,[C@H](C(=O)OC[C@H](CO)O)(CCCCCCCCCC(C)C)C
3512,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC(=O)O
3513,[H][C@@]12CC3=C4C(O[C@H]5[C@H]([O-])CC[C@@H]1[C@@]45CCN2C)=C([O-])C=C3
3514,CCN(CC)C(=O)[C@@H](C)[C@H]1CC[C@]2(CC[C@@H]([C@H]([C@@H]2[C@H]1O)C)NC(=O)C1CCCCC1)C
3515,CC(C)CCCCCCCCC/C=C/[C@H]([C@H](CO)N)O
3516,C[C@]12CCCC(=C)[C@@H]1C[C@H]1[C@@H](C2)OC(=O)[C@H]1C[NH2+]CC[C@@]1(CCOC(C1)(C)C)c1ccc(cc1)OC
3517,CCCCC[C@@H](/C=C/[C@H]1CCC(=O)[C@@H]1CCCCCCC(=O)Nc1ccc(cc1)C(=O)[O-])O
3518,CC(=CCC/C(=C/CC/C(=C/CC/C(=C/CC/C(=C/CC/C(=C/CC/C(=C/CC/C(=C/CC/C(=C/Cc1cc(c2ccccc2c1O)O)/C)/C)/C)/C)/C)/C)/C)/C)C
3519,C[C@@H]1C[C@@H]2[C@H](C[C@]3(C)C(=O)C[C@@H]([C@@H]13)O[C@H]1[C@@H]([C@H]([C@@H]([C@@H](COC(=O)C)O1)O)O)O)C(=C)C(=O)O2
3520,CCC/C=C\1/[C@]23CCC4=C([C@]2([C@@H]([C@@]23c3cccc(c3C(=O)O2)CCC[NH3+])CCC)C(=O)O1)C=C1C=CC[C@H]2[C@@H]1[C@H]4C=CC2
3521,CC[C@H]1CN(CC[C@H]1CC(=O)NCc1ccc2c(c1)OCO2)C(=O)C1CC1
3522,[C@@H]1([C@@H]([C@@H](/C=C(/CC/C=C(\C1)/C(=O)O)\C)OC(=O)C)C(C)C)OC(=O)C
3523,[C@H]1([C@H](O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)C[C@@H]([C@@H]2C(=C(C(=O)C2)C)C1)C)C(O)(C)C
3524,C12=C(C[C@@H](C[C@@]1(C[C@@H]1[C@H](C2)C(=C)C(=O)O1)C)O[C@H]1[C@@H]([C@H]([C@@H](CO1)O)O)O)C
3525,[H]OC([H])([H])[C@]([H])(OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])([H])[H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
3526,[C@@]12([C@@H]3[C@H]([C@H]4[C@](CC3)([C@@H]3[C@H](C4)O[C@]4([C@H]3C)OC[C@H](CC4)C)C)CC[C@@H]2C[C@H](C[C@H]1O[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)C)O)O)O[C@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)C)O)O)O)O)C
3527,[C@H]12[C@]([C@@H]([C@](CC2)(O)C)CC[C@@](C=C)(O)C)(CCC[C@]1(CO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)C)C
3528,CC(C)(C)c1ccc(cc1)c1cc(no1)C[C@H]1C[NH2+]CC[C@H]1CC(=O)N1CC[C@H](CC1)C(=O)N
3529,c1cc[nH+]c(c1)N1CCN(CC1)C(=O)C[C@H]1[C@@H]([C@@H]([C@H](O1)CNC(=O)c1cccc(c1)F)O)O
3530,[C@@]12([C@]([C@@H](CC[C@H]1O2)C)(CCc1cc2c(cc1)C(=O)C=CC2=O)C)C
3531,C[C@@]12CC[C@H]([C@@]([C@H]1CC[C@H]([C@H]2CC(=O)N1CCCC1)O)(C)CO)OC(=O)Nc1ccccc1
3532,c12c(c(c([nH]1)/C=c\1/c(c(/c(=C/c3[nH]c(/C=C/4\N/C(=C\2)/[C@H]([C@@H]4C)CCC(=O)OC)c(c3C=C)C)/[nH]1)C)CC)C)C(=O)OC
3533,C[C@@]12CCC[C@@H]3[C@@H]1[C@H](C2)C(=C)C[C@@]1(CC[C@H](C1)[C@H]1C[C@@]2(C[C@H](CC[C@H]2CC21CCCC2)O)O)[C@H]1[C@@](C3)(O1)C
3534,C[N@@H+]1C[C@H](C[C@H]1c1nc(no1)c1ccncc1)NC(=O)COC
3535,CC(=O)N(CC[C@@H](c1ccccc1)[C@@H]1CCOC(C1)(C)C)Cc1ccc(c(c1)OC)OC
3536,[H]O[C@]([H])(C([H])([H])OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])OP(=O)(O[H])OC([H])([H])C([H])([H])N([H])[H]
3537,CCCCCC(/C=C/C=C\C/C=C\CCCCC(=O)O)O
3538,C1[C@@H]([C@@]([C@H]2[C@](C1)([C@@H]1[C@@](CC2)([C@]2(C(=CC1)[C@H]1[C@@](CC2)(CC[C@@](C1)(C(=O)O)C)C)C)C)C)(O)C)O
3539,CCOC(=O)CN1C(=O)[C@H](N(C1=O)Cc1ccccc1)C(C)C
3540,[C@@]12([C@H]3[C@@]([C@H]([C@H]([C@@H]3O)O)[C@@H](CC[C@H](C(C)C)CCO[C@H]3[C@@H]([C@H]([C@@H](O3)CO)O)O)C)(CC[C@@H]1[C@@]1([C@@H]([C@H](C2)O)C[C@H](CC1)O)C)C)O
3541,[H]OC(=O)C([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H]
3542,c1ccc(cc1)CC(=O)Nc1ccc2n(c1=O)C[C@H]1C[C@@H]2C[NH2+]C1
3543,NC(CC1=CC=C(O)C=C1)C(=O)NC(CS)C(O)=O
3544,CCCCC/C=C\C=C\C(C/C=C\C/C=C\C/C=C\CCCCC(=O)O)O
3545,[C@@]12([C@]3([C@@H]([C@@]4([C@@H](CC3)[C@]([C@H]([C@@H](C4)O)O)(C(=O)O)C)C)CC=C1[C@H]1[C@](CC2)(C(=O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)COC)O)O)O)CC[C@H]([C@]1(O)C)C)C)C
3546,[H][C@](COC(=O)CCCC\C=C/C\C=C/C\C=C/CCCCC)(COC(=O)CCCC\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCC\C=C/CCCCCC
3547,[H]OC([H])([H])[C@]([H])(N([H])C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])[C@]([H])(O[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
3548,[C@@]123[C@@]4([C@]5(N([C@H](C3)O4)C/C(=C/C)/[C@@]([C@@]1(C(=O)OC)COC(=O)C)(C5)C)C)Nc1c2cccc1
