,SMILES
57,C#CCCC[C@@H]1[C@H](C)C(=N[C@@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]([C@@H](C)CC)C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](C(C)C)C(=O)O1)O
58,[H][C@@](COC(=O)CCCCCCC)(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCC
59,[C@]12(C(=CC[C@H]3[C@@H]1CC[C@H]1[C@@]3(CC[C@@H]([C@@]1(CO)C)O)C)[C@@H]1[C@](CC2)(C(=O)O)CCC(C1)(C)C)C
60,[C@@H]12[C@@]([C@H](CC2)[C@@H](CCCC(C)C)C)(CC[C@H]2C1=CC[C@@H]1[C@@]2(CC[C@@H](C1)OC(=O)C)C)C
61,CC(=O)O[C@@]1(CC[C@@H]2[C@@]1(CC[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C)C)C(=O)COC(=O)CCC(=O)NCCCCC(=O)[O-]
62,[H]OP(=O)(OC([H])([H])C([H])([H])N([H])[H])OC([H])([H])[C@]([H])(OC(=O)C([H])([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
63,[C@@]12([C@H]([C@H]3[C@H](C=C2)[C@@]2([C@H](CC3)C[C@H](CC2)O)C)CC[C@@H]1[C@@H](CCC(=O)O)C)C
64,[H][C@](O)(CO)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC
65,[H]OP(=O)(OC([H])([H])C([H])([H])N([H])C([H])([H])[H])OC([H])([H])[C@]([H])(OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
66,CCCC/C=C/C=C/CCCCCCCCCC(=O)OC
67,CCCCCCC(C)CCCCCCCCCCc1cc(cc(=O)o1)O
68,[C@]12([C@@H]3C(=C[C@H](C2=O)[C@H](C([C@@H]1CC(=O)OC)(C)C)OC(=O)/C(=C/C)/C)[C@H]1[C@@](CC3)([C@H](c2cocc2)OC(=O)C1)C)C
69,C(CCCCCCCCCCCC=C)CCC/C=C/CCCCCCCC
70,[C@H]1([C@H](/C=C/[C@@H](C[C@H](C[C@@H](C[C@H](C[C@H](C[C@@H](C[C@@H]([C@H]([C@@H](C/C=C/C=C/C=C/C=C/C=C/C(=O)O1)O)C)O)O)O)O)O)O)O)C)[C@H](CC)C
71,CCC(=O)N1C[C@H](C)[C@@H](CN(C)C(=O)c2ccc(cc2OC[C@@H]1C)N=C(CC(F)(F)F)O)OC
72,CCCCC[C@@H](/C=C/[C@@H]1CCC(=O)[C@H]1CCCCCCC(=O)NCc1cccnc1)O
73,[C@@]12([C@]3([C@@H]([C@@]4([C@H](C=C3)C([C@H](CC4)C)(C)C)C)C=C[C@@H]1[C@@]1([C@@H](CC2)[C@H](CC1)[C@@H](CC[C@@H](OC(=O)C)COC(=O)C)C)C)C)C
74,[C@H](COC[C@@H](CO)O)(C/C=C\CCCCCCCCCCCCC)OC
75,CC1CCC(CC1=CC=C2CCCC3(C2CCC3C(C)C=CC(C)C(C)C)C)O
76,OC1C(O)C(COC(=O)C2=CC(O)=C(O)C(O)=C2)OC(OCCC2=CC=CC=C2)C1O
77,OCCCCCCCCCCC(O)CCCCCCCCC(O)=O
78,CC(C)[C@H](Cc1ccc(c(c1)OCC[NH2+]C)O)/C=C/C(=O)CCc1ccc(c(c1)OC)O
79,CC1([C@H]2OC(=O)[C@]3([C@@H]2[C@@H]2[C@@](CC3)([C@]3([C@@H]([C@@]4([C@@H](C([C@@H](CC4)OC(=O)c4c(cccc4)C(=O)[O-])(C)C)CC3)C)CC2)C)C)CC1)C
80,CC(C)[C@@H](CC[NH2+]Cc1ccc(cc1)OC)c1ccc(cc1)OC(C)C
81,C(=O)(CCCCCCC/C=C\C=C\C=C\CCCCO)O
82,C1(=O)C(=C)[C@@H]2[C@H](O1)/C=C(\CO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)/CC/C=C(/CC2)\C
83,[C@@]12([C@@H]3[C@H](OC1=O)C[C@@]1([C@H](C3)C(=C)CCC1)C)OC=C(CC2)[C@@H]1C[C@@H]([C@](CC1)(C=C)C)C(=C)C
84,C[C@@H]1CC[C@@]2([C@H]([C@H]3[C@@H](O2)C[C@@H]2[C@@]3(CC[C@H]3[C@H]2CC=C2[C@@]3(CC[C@@H](C2)O[C@H]2[C@@H](O[C@H]([C@@H]([C@@H]2O)O)O)C)C)C)C)[NH2+]C1
85,[C@@]12([C@@H](C(CCC2)(C)C)CCC(=C1CC[C@H](CC(=O)OC)C)C)C
86,c1ccc(cc1)C[C@@H](C(=O)N[C@@H](CC(=O)[O-])C(=O)[O-])NC(=O)N1CC(=O)Nc2c1cccc2
87,[C@@H](NC(=O)CC/C(=C/CCc1cocc1)/C)(CCO[P@@](=O)(OCCCCC(C)C)O)C(=O)O
88,c12c(C(=O)C(=C(C1=O)C/C=C(/CC/C=C(/CC/C=C(/CC/C=C(/CC/C=C(/CCC[C@@H](CCCC(C)C)C)\C)\C)\C)\C)\C)SC)cccc2
89,[C@]12([C@@]([C@@H]3[C@@](CC2)([C@H]2[C@](CC3)([C@H](C(=O)CC2)C)C)C)(CC[C@@]2([C@H]1CC(CC2)(C)C)C(=O)O)C)COC(=O)/C=C/c1ccc(cc1)O
90,[C@@]([C@H](OC(=O)/C(=C/C)/C)C)(C(=O)OC[C@H]1[C@H]2N(CC1)CCC2)(O)C
91,[C@H]12[C@H](C[C@@](C[C@H](/C=C(\[C@H](C2)OC(=O)C)/C)OC(=O)C)(OO)C)OC(=O)C1=C
92,C[C@H]1[C@@H](CO[C@H]1[C@H]([C@@](C)([C@H]1CC[C@@]2([C@@]1(CC[C@H]1[C@H]2/C(=N/C[C@H](C)O)/C(=O)[C@H]2[C@@]1(C[C@@H]([C@@H](C2)O)O)CCc1ccc([nH+]c1)N)C)O)O)O)C1CCCC1
93,C[C@]12CCCC(=C)[C@@H]1C[C@H]1[C@@H](C2)OC(=O)[C@H]1C[N@@H+](CCO)Cc1ccccc1
94,COc1ccc(cc1c1ccc2c(c1)C(=O)N1CCN(C[C@@H]1C(=O)N2)C(=O)C1CCCCC1)Cl
95,[H][C@](COC(=O)CCCCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCCCCCCCC)OC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC
96,CCC(CC(O)C(C)C1CCC2C3C(O)C=C4CC(O)CCC4(C)C3CCC12C)C(C)C
97,CCCCC\C=C/C\C=C/CCCCCCCC(=O)CC(CO)OC(C)=O
