CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
5887	11581	11	0.9788	132.078
5849	10311	11	0.9834	-132.083
9092	11581	11	0.9891	-44.025
9092	11542	11	0.9877	-88.053
5875	11542	11	0.9926	-44.027
5849	10086	11	0.9853	44.025
5875	10035	11	0.9858	-88.056
10064	11544	11	0.9905	-0.003
10064	10311	11	0.9855	-88.054
5847	5849	11	0.984	-44.026
5849	10035	11	0.9894	-0.003
5887	6109	11	0.9858	-88.054
5849	5887	11	0.9898	-44.026
6109	10412	11	0.9689	-44.024
5847	11533	11	0.9798	-44.028
5847	10064	11	0.9812	-88.056
10086	11544	11	0.9848	-88.057
5875	5887	11	0.9843	-132.078
5887	11542	11	0.9836	88.051
9092	10086	11	0.979	-88.053
5847	10035	11	0.9854	-44.030
5849	11581	11	0.9824	88.053
10086	10311	11	0.9791	-176.108
10035	10086	11	0.9887	44.028
5875	11581	11	0.9896	0.001
5887	11544	11	0.986	-0.007
5875	10086	11	0.9855	-44.028
10064	11542	11	0.984	88.055
11542	11581	11	0.9928	44.028
5875	9092	11	0.9866	44.026
10035	11544	11	0.9896	-44.029
6109	10311	11	0.9826	-0.004
5847	5875	11	0.9855	44.026
11533	11544	11	0.9821	-44.031
10086	11542	11	0.987	0.000
10035	11542	11	0.9926	44.028
307	3185	12	1.0	-0.001
108	4259	13	0.9784	0.000
1072	3732	13	0.9758	-0.100
3152	4269	13	0.8527	-0.973
1195	1750	13	0.7987	0.001
98	2063	13	0.8064	0.108
1750	4358	13	0.7902	-15.996
1135	1153	13	0.7322	15.996
1138	1569	13	0.7383	-14.015
98	9150	13	0.8881	-464.527
1424	4298	13	0.8693	28.032
1138	1244	13	0.7172	-13.009
1072	6590	13	0.8745	-15.993
1125	1195	13	0.8122	-0.001
132	4280	13	0.9423	-0.001
1153	1232	13	0.8922	-15.995
2063	3152	13	0.8815	-1.007
98	4333	13	0.8266	0.107
1135	1244	13	0.91	-0.000
132	4269	13	0.8105	-1.980
4333	11878	13	0.8882	-0.000
304	11878	13	0.8344	-0.000
1382	4358	13	0.7783	-17.003
1066	2063	13	0.9025	0.000
2143	4259	13	0.8018	-1.007
1072	4259	13	0.9487	-14.015
98	1066	13	0.9113	0.107
1244	1268	13	0.7732	-13.980
108	2143	13	0.8007	1.007
1143	2003	13	1.0	-0.000
2366	3054	13	0.8929	-0.001
98	11878	13	0.8988	0.107
1066	11878	13	0.9412	-0.000
2063	4280	13	1.0	-0.000
1125	2438	13	0.811	-18.008
1232	1424	13	0.8752	15.994
2003	4358	13	0.7183	-21.034
304	4280	13	0.8391	-0.000
1125	1153	13	0.8851	-14.015
1135	3054	13	0.8762	-18.011
1135	2366	13	0.8502	-18.010
329	4269	13	0.9276	-0.001
108	1072	13	0.9387	14.015
2438	4358	13	0.7832	2.012
1424	1560	13	0.7383	-15.994
1066	3152	13	0.9506	-1.007
1119	4358	13	0.946	-0.000
1135	2602	13	0.8717	-18.011
1244	3054	13	0.8354	-18.011
4259	11878	13	0.7966	-13.009
2143	4358	13	0.8577	-15.995
1153	4298	13	0.8499	28.031
3054	6894	13	0.7146	-15.994
1125	1156	13	0.8975	14.015
108	1143	13	0.7933	6.046
1156	1750	13	0.9362	-14.014
4280	4333	13	0.9293	-0.000
1072	11878	13	0.8052	-27.024
1195	2143	13	1.0	0.000
108	1195	13	0.8007	1.007
1135	1138	13	0.7145	13.009
1195	4259	13	0.8018	-1.007
1119	1195	13	0.881	15.994
108	4358	13	0.803	-14.987
1153	1156	13	0.8896	28.030
329	4280	13	0.8207	1.979
1119	2438	13	0.7729	-2.013
132	11878	13	0.875	-0.001
1244	2602	13	0.8567	-18.011
3152	4259	13	0.8752	14.015
1119	1143	13	0.7005	21.034
1153	1244	13	0.7402	-15.996
1153	1424	13	0.9425	-0.001
4298	6590	13	0.7697	-17.002
1119	1125	13	0.7773	15.995
1077	4269	13	0.7579	16.029
304	1066	13	0.8361	-0.000
98	132	13	0.8252	0.108
1195	4333	13	0.8047	-14.016
2063	4333	13	0.9293	-0.000
1153	2143	13	0.796	14.015
1125	2143	13	0.8122	-0.001
2366	2602	13	0.8751	-0.001
1156	1195	13	0.8022	-14.016
1143	4358	13	0.7183	-21.034
1119	2143	13	0.881	15.995
4280	11878	13	0.8537	-0.000
132	1072	13	0.8162	27.023
1750	2143	13	0.7987	-0.001
1125	4358	13	0.7784	-15.995
1750	4298	13	0.9251	14.015
1156	2143	13	0.8022	-14.015
1077	1268	13	0.7523	-11.966
1119	1382	13	0.7775	17.002
1156	1424	13	0.9146	-28.031
304	2063	13	0.8391	0.000
2143	4333	13	0.8047	-14.016
132	304	13	0.8482	-0.001
1120	1268	13	0.7699	-140.158
1156	4298	13	0.9194	0.001
1125	1750	13	0.8854	0.000
132	1066	13	0.9197	-0.001
4269	4280	13	0.7951	1.980
1066	4269	13	0.8037	-1.979
1153	1750	13	0.884	14.016
132	4333	13	0.9255	-0.001
1119	1750	13	0.8026	15.996
329	2063	13	0.8207	1.979
1244	2366	13	0.8332	-18.010
3732	6590	13	0.8523	-15.893
1125	4298	13	0.8808	14.015
1077	1244	13	0.7638	2.014
3152	4280	13	0.8815	1.007
1153	1195	13	0.796	14.014
3152	4333	13	0.9065	1.006
1138	1382	13	0.8715	18.009
1066	4280	13	0.9025	0.000
108	2003	13	0.7933	6.046
1156	6590	13	0.7739	-17.001
2602	3054	13	0.8989	-0.000
1119	4259	13	0.8124	14.987
1750	2438	13	0.8249	-18.008
108	1382	13	0.8813	2.015
1125	1424	13	0.8534	-14.017
98	4280	13	0.8064	0.107
1195	4358	13	0.8577	-15.994
4259	4358	13	0.8058	-14.987
132	2063	13	0.9423	-0.001
98	304	13	0.7832	0.108
1119	2003	13	0.7005	21.034
1135	1268	13	0.7503	-13.980
3152	11878	13	0.945	1.006
304	4333	13	0.8669	-0.000
1066	4333	13	0.8993	-0.000
1382	2438	13	0.7273	-19.015
1077	3152	13	0.8594	17.002
108	3152	13	0.8793	-14.015
1424	1750	13	0.8821	14.017
2063	11878	13	0.8537	-0.001
108	1119	13	0.8164	-14.987
1382	4259	13	0.8801	-2.015
1161	6590	13	0.7224	14.015
132	3152	13	0.8749	-1.007
2063	4269	13	0.7951	-1.980
3211	7697	14	0.9471	-88.055
588	3563	14	0.9486	0.000
3553	6471	14	0.9296	-14.016
